	dmso-het	dmso-mut
0	180.94370338795272	289.26828217844206
1	326.23273869265984	324.0894967887423
2	309.2321420763116	295.37110656364194
3	304.876414886028	258.24955895350365
4	322.47410923980766	395.74282341549315
5	351.69695199433517	407.6383236188322
6	285.9120754323536	438.6533035172321
7	283.1473457901342	593.654582387237
8	313.1342874392015	460.7237546597844
9	375.13126725460916	311.21424970541926
10	372.7369618368479	
11	363.92532910686305	
12	376.51677875405807	
13	358.0201042439607	
14	392.65540501030046	
15	257.53368843480735	
16	405.9624131403808	
17	280.3351832729119	
18	661.3923605701866	
19	595.4056320076772	
20	569.4179583577372	
21	374.0550359316198	
22	530.7113148399095	
23	439.2541492682116	
24	491.8780266591114	
25	475.6146350115083	
26	421.35970123039993	
27	404.50260674053504	
28	494.46085417800543	
29	479.05837641824075	
30	541.3913028220633	
31	341.662201648574	
32	437.04801080668824	
33	350.1662655303819	
34	333.0173614665997	
