	dmso-het	dmso-mut
0	5.046875	7.859375
1	7.71875	7.53125
2	10.125	9.140625
3	5.578125	8.53125
4	11.671875	1.796875
5	11.40625	7.84375
6	10.125	2.203125
7	9.9375	11.03125
8	5.75	8.84375
9	11.59375	11.453125
10	11.453125	
11	9.015625	
12	7.734375	
13	1.90625	
14	3.453125	
15	6.390625	
16	7.875	
17	2.234375	
18	5.96875	
19	6.0625	
20	4.484375	
21	10.140625	
22	8.203125	
23	6.21875	
24	7.90625	
25	7.65625	
26	9.828125	
27	12.125	
28	7.984375	
29	6.15625	
30	12.609375	
31	9.140625	
32	6.453125	
33	7.046875	
34	10.078125	
