	dmso-het	drug-het
0	130120.74635369747	16922.1674325462
1	177168.016302296	69711.5869224203
2	60432.301567928516	45432.68421013329
3	15212.007488138068	80702.07587146376
4	347812.8036688818	58472.40276495363
5	60014.983606499685	43524.69844366853
6	40220.73605041896	44764.713015428686
7	108784.69354824208	18871.784347775232
8	69632.99552974473	25543.295038081487
9	13919.080827170088	49340.24304056711
10	85654.46632143074	68185.89259250404
11	230064.75593184403	
12	114432.22025447377	
13	41104.37194913438	
14	87286.26785080791	
