	dmso-het	drug-het
0	104171.71985236439	8474.245918488909
1	151463.35224707157	20321.30234525858
2	10252.443276416734	3489.195925464702
3	5036.291158679682	75300.58065074566
4	74482.9845557752	88235.75700509912
5	107008.87313373637	8664.992335215173
6	6551.867041042529	140348.4078352891
7	392045.42692015844	6818.543422798613
8	22075.511255349273	16265.690462265868
9	2252.4598733162297	2788.0113141758184
10	95531.24964499866	12647.201958706808
11	183054.62189408657	
12	12790.865123645508	
13	3941.377013100451	
14	1860.112927591466	
