,CYS107,THR111,VAL114,ASP115,TRP120,CYS127,ILE130,PRO131,GLN134,THR135,VAL138,MET184,GLN187,MET191,CYS210,ASP211,GLU212,TYR223,HIS224,PHE228,THR231,ILE322,ASN324,LYS327,ARG328,TYR343,PHE348,HIS350,VAL353,TYR354,
4s0v_receptor_only_Z133963954_78_6,0,-1.654789,0,0,0,0,0,0,-1.831883,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.960516,0,-1.2224009999999998,0,0,-3.717633,0,0,
4s0v_receptor_only_Z1393238519_153_18,0,0,0,0,0,0,0,0,0,0,0,0,-1.430088,0,0,0,0,0,-1.093828,-1.841944,0,-1.43093,-1.8492,-1.52621,0,0,-2.524597,-2.172057,0,0,
4s0v_receptor_only_Z1410815299_26_0,0,0,-1.975674,0,-1.250746,0,0,0,0,0,0,0,0,0,0,-1.826242,0,0,0,0,0,-1.167767,0,0,0,0,0,-4.876343,0,-1.558917,
4s0v_receptor_only_Z741186566_180_0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.691271,0,-1.469048,-1.094846,0,-4.511311,0,0,-3.395593,-6.643353,-3.309106,-8.373955,0,-1.940375,-2.866792,0,0,
4s0v_trimmed_aligned,0,-1.951406,0,0,0,0,0,-2.336533,-5.028666,-1.00987,0,0,-1.966987,0,0,0,0,0,0,-1.668895,0,-3.139888,-3.135426,0,0,0,0,-2.651749,-1.315054,-1.378996,
5wqc_trimmed_aligned,0,-1.252713,0,0,0,0,0,-2.461764,-2.692067,0,-1.128462,0,-1.145048,-1.012428,0,0,0,0,0,-3.330017,0,-4.886912,-2.54476,0,0,0,0,-3.050205,-1.124337,-1.458683,
5ws3_trimmed_aligned,0,-1.43609,0,0,0,0,0,-2.689828,-3.665755,-1.017378,0,0,-1.188779,0,0,0,0,0,0,-2.768341,0,-4.768509,-2.51648,0,0,0,0,-2.783898,-1.052472,-1.64643,
6tpg_trimmed_aligned,0,-1.295268,0,0,0,0,0,-2.018084,-2.938528,0,-1.27617,0,0,0,0,0,0,0,0,-3.08693,0,-4.91604,-2.372823,0,0,0,0,-3.014121,0,-1.541373,
6tpj_trimmed_aligned,0,-2.194165,0,0,0,0,-1.025435,-2.086808,-5.179328,-1.33494,0,0,-1.831782,0,0,0,0,0,0,-1.665849,0,-3.276178,-3.355337,0,0,0,0,-2.725718,-1.319524,-1.29782,
6tpn_trimmed_aligned,0,0,0,0,0,0,0,-2.327178,-2.359861,-1.852425,-1.475379,0,-1.586951,0,0,0,0,0,-1.107371,-3.942958,0,-2.419963,-2.971228,0,0,0,0,-1.070746,0,0,
7l1u_receptor_only_PV-006710095262_178_1,0,0,-1.709021,0,0,0,0,0,-5.427451,-5.462075,-2.804295,0,-1.777459,0,0,0,0,0,0,-6.410968,-1.234539,-1.915503,-8.571764,0,-1.009847,0,0,0,0,0,
7l1v_trimmed_aligned,-1.371811,-2.125489,-3.056816,0,-1.131513,0,0,-1.690531,-5.077041,-1.569984,-2.006319,0,0,-1.200664,0,0,0,0,0,-1.423079,0,-1.85862,-1.565273,0,0,-4.169135,0,-4.030194,0,0,
4s0v_receptor_only_Z1208170038_187_22,0,-2.846685,-4.130383,-1.500877,-2.121346,0,-1.0283,-2.032673,-2.992974,0,0,0,0,0,0,0,0,0,0,0,0,-1.986697,0,0,0,0,0,-3.725962,0,-1.499829,
4s0v_receptor_only_Z2169713547_69_27,0,0,0,0,0,0,0,0,-3.055392,-1.64013,0,0,0,0,0,0,0,0,0,0,0,0,-1.656108,0,0,0,0,-2.44556,0,0,
4s0v_receptor_only_PV-004289409993_14_98,0,-2.83273,-2.112933,0,0,-1.947302,0,-2.33435,-7.865216,-1.417232,-1.666853,0,0,-6.113776,-3.538896,-2.214807,0,0,0,0,0,-1.74175,0,0,0,0,0,-6.576195,0,-1.271031,
4s0v_receptor_only_PV-006254270889_138_5,-2.487038,-1.805207,-3.966182,0,0,0,-1.376613,-1.300654,-7.92109,0,0,0,0,0,0,-1.508764,-2.095728,0,0,0,0,0,0,-1.86178,-2.643466,0,-1.575073,-4.916867,0,0,
4s0v_receptor_only_PV-006439055682_112_0,0,0,0,0,-1.891854,-1.363438,0,-6.651911,-2.412653,-5.081564,0,-3.373867,-11.332248,-7.590079,-2.620568,0,-4.055247,-3.065589,-1.481933,-4.205372,0,-1.369743,-4.174678999999999,-1.85667,-3.490513,0,0,-1.775075,0,0,
7sqo_trimmed_aligned,0,0,-1.502018,0,0,0,0,0,-5.6271759999999995,-2.770937,-3.419444,0,-1.144136,0,0,0,0,0,0,-1.813066,-1.290731,-1.727451,-2.478244,0,0,0,0,-1.793098,0,0,
7sr8_trimmed_aligned,0,0,0,0,-1.63972,0,0,-1.512983,-4.397221,-1.904033,-3.097486,0,0,0,0,0,0,0,0,-1.25165,0,-2.471678,-1.45701,0,0,0,0,-2.157591,0,0,
7xrr_trimmed_aligned,0,-2.328819,-1.104781,0,0,0,0,-2.888273,-5.732567,-1.101923,0,0,0,0,0,0,0,0,0,-1.668002,0,-3.221291,-1.495523,0,0,0,0,-4.549372,0,0,
