	dmso-het	drug-het
0	38304.91998176873	88236.13323037322
1	43403.807229567545	58920.979456188055
2	58499.942291181345	251118.968195328
3	94913.43507875633	123450.90639422626
4	41917.956107415026	57717.581252746844
5	131388.32398688275	56214.09240031633
6	126751.7400908105	165611.35542771395
7	69615.90457301849	107892.9850924341
8	55458.291934095534	96447.42147636837
9	11691.20174035783	135861.00756566963
10	40954.68526381028	127995.84314179442
11	67660.56415341693	104254.59346860921
12		87910.74208117425
13		162446.21272861565
14		86468.3228470153
15		109585.99744610071
16		188570.25690756427
17		70094.97477983934
18		141291.2137518607
