	drug	dmso
0	134.21428571428572	278.85714285714283
1	124.21428571428571	678.6428571428571
2	338.0	496.57142857142856
3	827.7142857142857	953.5
4	372.42857142857144	364.35714285714283
5	125.5	730.5
6	283.57142857142856	306.07142857142856
7	687.5714285714286	257.14285714285717
8	597.2857142857143	2059.6428571428573
9	361.57142857142856	560.3571428571429
10	557.4285714285714	437.14285714285717
11	558.5714285714286	346.7857142857143
12	607.0	90.57142857142857
13	731.2142857142857	541.7857142857143
14	80.14285714285714	455.7857142857143
15	1272.857142857143	
16	411.5	
17	489.07142857142856	
18	684.8571428571429	
