	dmso-wt	drug-wt
0	214.25449359272383	203.37395545752383
1	200.59571005929843	196.96252864962597
2	237.45659847803577	190.08621876796767
3	269.49134821770866	210.84190304194823
4	224.7242882651122	193.91969302023588
5	307.5704433849799	390.681082527101
6	371.5987183245451	187.0569370122474
7	258.37476611427894	236.6430244750777
8	283.8274355599954	263.8613213064977
9	249.03896393759	331.5767543137228
10	272.6500701026421	261.74234093033516
11		280.74192141521627
12		300.0329447708432
13		262.8612995898442
14		317.74086540300124
15		289.55975766070065
