	dmso-wt	drug-wt
0	19033.49492475072	2426.6635091598255
1	6650.57716410805	70394.13563118805
2	15433.017562671846	3960.8454117403494
3	46684.669297300985	7599.112102997092
4	22338.8843942687	21148.66120992699
5	60673.84301064841	44811.13358564718
6	39308.32625921513	19630.8967218723
7	76869.07706976295	295379.9881309911
8	7098.2607895750825	24642.347514520407
9	6382.949287446599	33100.084487338485
10	7105.369094480816	5441.7069675084385
11		18233.432753041692
12		21642.267182079915
13		77139.01573917059
14		150797.50865995168
15		46041.56244678137
