	dmso-het	drug-het
0	180.53562794367377	161.61616484656727
1	196.66939099742126	204.21337885117796
2	197.27945985409755	220.53532652491464
3	342.4369726505408	233.1920406486685
4	209.20617131260582	202.02167981982402
5	187.91456845902846	283.9154857152295
6	323.12278828359257	182.41854668258458
7	201.69498180607297	334.0902126678356
8	222.2488966791491	217.57884112615355
9	218.15939483552071	210.35870885808052
10	174.91224680016322	268.59476263149935
11	210.60000308407115	254.89288727354423
12	202.50947801876765	230.5544639611238
13		224.01418285034626
14		422.5096400806248
15		287.7655355451024
